fase,jogo,data,dia_semana,horario_brasilia,mandante,visitante,estadio,cidade,pais_sede
Fase de Grupos,Grupo L - Jogo 4,23/06/2026,Terça,20h,Panamá,Croácia,BMO Field,Toronto,Canadá
Fase de Grupos,Grupo A - Jogo 5,24/06/2026,Quarta,22h,Playoff Europeu D,México,Estádio Azteca,Cidade do México,México
Fase de Grupos,Grupo A - Jogo 6,24/06/2026,Quarta,22h,África do Sul,Coreia do Sul,Estadio BBVA,Monterrey,México
Fase de Grupos,Grupo B - Jogo 5,24/06/2026,Quarta,16h,Suíça,Canadá,BC Place,Vancouver,Canadá
Fase de Grupos,Grupo B - Jogo 6,24/06/2026,Quarta,16h,Playoff Europeu A,Catar,Lumen Field,Seattle,EUA
Fase de Grupos,Grupo C - Jogo 5,24/06/2026,Quarta,19h,Escócia,Brasil,Hard Rock Stadium,Miami,EUA
Fase de Grupos,Grupo C - Jogo 6,24/06/2026,Quarta,19h,Marrocos,Haiti,Mercedes-Benz Stadium,Atlanta,EUA
Fase de Grupos,Grupo D - Jogo 5,25/06/2026,Quinta,23h,Playoff Europeu C,Estados Unidos,SoFi Stadium,Los Angeles,EUA
Fase de Grupos,Grupo D - Jogo 6,25/06/2026,Quinta,23h,Paraguai,Austrália,Levi's Stadium,San Francisco,EUA
Fase de Grupos,Grupo E - Jogo 5,25/06/2026,Quinta,17h,Equador,Alemanha,MetLife Stadium,Nova York/New Jersey,EUA
Fase de Grupos,Grupo E - Jogo 6,25/06/2026,Quinta,17h,Curaçao,Costa do Marfim,Lincoln Financial Field,Filadélfia,EUA
Fase de Grupos,Grupo F - Jogo 5,25/06/2026,Quinta,20h,Tunísia,Holanda,Arrowhead Stadium,Kansas City,EUA
Fase de Grupos,Grupo F - Jogo 6,25/06/2026,Quinta,20h,Japão,Playoff Europeu B,AT&T Stadium,Dallas,EUA
Fase de Grupos,Grupo H - Jogo 5,26/06/2026,Sexta,21h,Uruguai,Espanha,Estadio Akron,Guadalajara,México
Fase de Grupos,Grupo H - Jogo 6,26/06/2026,Sexta,21h,Cabo Verde,Arábia Saudita,NRG Stadium,Houston,EUA
Fase de Grupos,Grupo I - Jogo 5,26/06/2026,Sexta,16h,Noruega,França,Gillette Stadium,Boston,EUA
Fase de Grupos,Grupo I - Jogo 6,26/06/2026,Sexta,16h,Senegal,Playoff Intercontinental 2,BMO Field,Toronto,Canadá
Fase de Grupos,Grupo G - Jogo 5,27/06/2026,Sábado,00h,Nova Zelândia,Bélgica,BC Place,Vancouver,Canadá
Fase de Grupos,Grupo G - Jogo 6,27/06/2026,Sábado,00h,Egito,Irã,Lumen Field,Seattle,EUA
Fase de Grupos,Grupo J - Jogo 5,27/06/2026,Sábado,23h,Jordânia,Argentina,AT&T Stadium,Dallas,EUA
Fase de Grupos,Grupo J - Jogo 6,27/06/2026,Sábado,23h,Argélia,Áustria,Arrowhead Stadium,Kansas City,EUA
Fase de Grupos,Grupo K - Jogo 5,27/06/2026,Sábado,20h30,Colômbia,Portugal,Hard Rock Stadium,Miami,EUA
Fase de Grupos,Grupo K - Jogo 6,27/06/2026,Sábado,20h30,Playoff Intercontinental 1,Uzbequistão,Mercedes-Benz Stadium,Atlanta,EUA
Fase de Grupos,Grupo L - Jogo 5,27/06/2026,Sábado,18h,Panamá,Inglaterra,MetLife Stadium,Nova York/New Jersey,EUA
Fase de Grupos,Grupo L - Jogo 6,27/06/2026,Sábado,18h,Croácia,Gana,Lincoln Financial Field,Filadélfia,EUA
Dezesseis-avos de Final,Segunda fase 3,28/06/2026,Domingo,16h,2º A,2º B,SoFi Stadium,Los Angeles,EUA
Dezesseis-avos de Final,Segunda fase 1,29/06/2026,Segunda,17h30,1º E,3º ABCDF,Gillette Stadium,Boston,EUA
Dezesseis-avos de Final,Segunda fase 9,29/06/2026,Segunda,14h,1º C,2º F,NRG Stadium,Houston,EUA
Dezesseis-avos de Final,Segunda fase 4,29/06/2026,Segunda,22h,1º F,2º C,Estadio BBVA,Monterrey,México
Dezesseis-avos de Final,Segunda fase 2,30/06/2026,Terça,18h,1º I,3º CDFGH,MetLife Stadium,Nova York/New Jersey,EUA
Dezesseis-avos de Final,Segunda fase 10,30/06/2026,Terça,14h,2º E,2º I,AT&T Stadium,Dallas,EUA
Dezesseis-avos de Final,Segunda fase 11,30/06/2026,Terça,22h,1º A,3º CEFHI,Estádio Azteca,Cidade do México,México
Dezesseis-avos de Final,Segunda fase 7,01/07/2026,Quarta,21h,1º D,3º BEFIJ,Levi's Stadium,San Francisco,EUA
Dezesseis-avos de Final,Segunda fase 8,01/07/2026,Quarta,17h,1º G,3º AEHIJ,Lumen Field,Seattle,EUA
Dezesseis-avos de Final,Segunda fase 12,01/07/2026,Quarta,13h,1º L,3º EHIJK,Mercedes-Benz Stadium,Atlanta,EUA
Dezesseis-avos de Final,Segunda fase 5,02/07/2026,Quinta,20h,2º K,2º L,BMO Field,Toronto,Canadá
Dezesseis-avos de Final,Segunda fase 6,02/07/2026,Quinta,16h,1º H,2º J,SoFi Stadium,Los Angeles,EUA
Dezesseis-avos de Final,Segunda fase 13,03/07/2026,Sexta,19h,1º J,2º H,Hard Rock Stadium,Miami,EUA
Dezesseis-avos de Final,Segunda fase 14,03/07/2026,Sexta,15h,2º D,2º G,AT&T Stadium,Dallas,EUA
Dezesseis-avos de Final,Segunda fase 15,03/07/2026,Sexta,00h,1º B,3º EFGIJ,BC Place,Vancouver,Canadá
Dezesseis-avos de Final,Segunda fase 16,03/07/2026,Sexta,22h30,1º K,3º DEIJL,Arrowhead Stadium,Kansas City,EUA
Oitavas de Final,Oitavas 2,04/07/2026,Sábado,14h,Venc. Segunda fase 3,Venc. Segunda fase 4,NRG Stadium,Houston,EUA
Oitavas de Final,Oitavas 1,04/07/2026,Sábado,18h,Venc. Segunda fase 1,Venc. Segunda fase 2,Lincoln Financial Field,Filadélfia,EUA
Oitavas de Final,Oitavas 5,05/07/2026,Domingo,17h,Venc. Segunda fase 9,Venc. Segunda fase 10,MetLife Stadium,Nova York/New Jersey,EUA
Oitavas de Final,Oitavas 6,05/07/2026,Domingo,21h,Venc. Segunda fase 11,Venc. Segunda fase 12,Estádio Azteca,Cidade do México,México
Oitavas de Final,Oitavas 3,06/07/2026,Segunda,16h,Venc. Segunda fase 5,Venc. Segunda fase 6,AT&T Stadium,Dallas,EUA
Oitavas de Final,Oitavas 4,06/07/2026,Segunda,21h,Venc. Segunda fase 7,Venc. Segunda fase 8,Lumen Field,Seattle,EUA
Oitavas de Final,Oitavas 7,07/07/2026,Terça,13h,Venc. Segunda fase 13,Venc. Segunda fase 14,Mercedes-Benz Stadium,Atlanta,EUA
Oitavas de Final,Oitavas 8,07/07/2026,Terça,17h,Venc. Segunda fase 15,Venc. Segunda fase 16,BC Place,Vancouver,Canadá
Quartas de Final,Quartas 1,09/07/2026,Quinta,17h,Venc. Oitavas 1,Venc. Oitavas 2,Gillette Stadium,Boston,EUA
Quartas de Final,Quartas 2,10/07/2026,Sexta,16h,Venc. Oitavas 3,Venc. Oitavas 4,SoFi Stadium,Los Angeles,EUA
Quartas de Final,Quartas 3,11/07/2026,Sábado,18h,Venc. Oitavas 5,Venc. Oitavas 6,Hard Rock Stadium,Miami,EUA
Quartas de Final,Quartas 4,11/07/2026,Sábado,22h,Venc. Oitavas 7,Venc. Oitavas 8,Arrowhead Stadium,Kansas City,EUA
Semifinal,Semifinal 1,14/07/2026,Terça,16h,Venc. Quartas 1,Venc. Quartas 2,AT&T Stadium,Dallas,EUA
Semifinal,Semifinal 2,15/07/2026,Quarta,16h,Venc. Quartas 3,Venc. Quartas 4,Mercedes-Benz Stadium,Atlanta,EUA
Disputa 3º Lugar,3º Lugar,18/07/2026,Sábado,18h,Perd. Semifinal 1,Perd. Semifinal 2,Hard Rock Stadium,Miami,EUA
Final,Final,19/07/2026,Domingo,16h,Venc. Semifinal 1,Venc. Semifinal 2,MetLife Stadium,Nova York/New Jersey,EUA
